No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse, folds_result, mean_orders_count_per_hours, mean_sharpe_ratio, mean_profit_%, mean_profit, mean_L_orders_count_per_hours, mean_L_sharpe_ratio, mean_L_profit_%, mean_L_profit
1, ['Close_norm'], None, euclidean, padding, 10, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5086, 0.0462, 0.4963, 0.0519, NaN, NaN, +-+++, 0.16, 0.703, 1.288, 23.594, 0.012, 1.304, 4.613, 77.327
 1, ['Close_norm'], SAX, euclidean, padding, 10, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.4763, 0.06, 0.4242, 0.0737, NaN, NaN, +--+-, 0.14, 0.062, -3.129, -49.529, 0.012, 0.872, 2.405, 40.766
 1, ['Close_norm'], None, euclidean, padding, 10, 10, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.4974, 0.039, 0.4757, 0.0384, NaN, NaN, +-+--, 0.162, 0.87, -0.414, -11.273, 0.013, 1.015, 3.452, 55.798
 1, ['Close_norm'], SAX, euclidean, padding, 10, 10, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5, 0.0146, 0.4622, 0.0489, NaN, NaN, +--+-, 0.138, 0.755, -0.794, -12.96, 0.013, 0.86, 3.262, 54.955
 1, ['Close_norm'], None, euclidean, padding, 10, 15, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.4985, 0.0616, 0.4801, 0.0627, NaN, NaN, ---++, 0.214, 0.537, -3.245, -45.937, 0.014, 1.059, 2.18, 41.529
 1, ['Close_norm'], SAX, euclidean, padding, 10, 15, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.4614, 0.0413, 0.4152, 0.0631, NaN, NaN, ---+-, 0.134, 0.283, -3.626, -59.754, 0.014, 1.063, 1.99, 34.621
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 10, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5027, 0.036, 0.4914, 0.0414, NaN, NaN, ++-+-, 0.293, 0.909, 0.226, -4.443, 0.013, 0.895, 3.546, 55.101
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 10, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.495, 0.0442, 0.4239, 0.0898, NaN, NaN, +-D++, 0.101, 0.315, -0.613, -4.334, 0.013, 0.35, 3.127, 55.156
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, padding, 10, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5051, 0.0663, 0.486, 0.0545, NaN, NaN, +--+-, 0.222, 0.555, -0.972, -16.514, 0.013, 0.479, 2.947, 49.066
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 10, 10, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5418, 0.0763, 0.5297, 0.0812, NaN, NaN, +-+-+, 0.372, 0.851, 7.231, 116.457, 0.013, 1.05, 7.345, 120.65
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 10, 10, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.4824, 0.0262, 0.435, 0.0459, NaN, NaN, -++-+, 0.127, 0.604, 1.085, 20.05, 0.013, 0.669, 4.272, 72.446
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, padding, 10, 10, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.504, 0.0526, 0.4935, 0.0471, NaN, NaN, +-+-+, 0.323, 0.417, 1.07, 20.218, 0.013, 0.838, 4.264, 72.53
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 10, 15, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5059, 0.0389, 0.5001, 0.0415, NaN, NaN, +++--, 0.37, -0.467, -0.071, -4.686, 0.014, 0.065, 3.622, 59.939
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 10, 15, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.526, 0.0125, 0.4891, 0.0262, NaN, NaN, +-+++, 0.11, 0.229, 2.017, 39.722, 0.014, 0.569, 4.666, 82.143
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, padding, 10, 15, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5087, 0.04, 0.4814, 0.0496, NaN, NaN, +--++, 0.362, 0.082, 1.279, 25.875, 0.014, 0.391, 4.297, 75.22
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, padding, 10, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5236, 0.025, 0.5164, 0.0241, NaN, NaN, +-+++, 0.197, 1.754, 5.074, 85.262, 0.012, 1.654, 6.506, 108.161
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, euclidean, padding, 10, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.4988, 0.0376, 0.4811, 0.0388, NaN, NaN, +-++-, 0.174, 0.805, 1.955, 26.1, 0.012, 0.997, 4.947, 78.58
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, padding, 10, 10, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5319, 0.0418, 0.5119, 0.0447, NaN, NaN, ++--+, 0.215, 0.938, 1.807, 26.909, 0.013, 1.003, 4.562, 74.889
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, euclidean, padding, 10, 10, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5241, 0.0547, 0.5169, 0.0593, NaN, NaN, +-+--, 0.173, 0.939, 2.309, 28.557, 0.013, 0.971, 4.813, 75.713
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, padding, 10, 15, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.4928, 0.0424, 0.4721, 0.0511, NaN, NaN, +--+-, 0.222, 0.49, -0.961, -15.154, 0.014, 1.209, 3.322, 56.92
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, euclidean, padding, 10, 15, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5155, 0.0591, 0.5025, 0.0682, NaN, NaN, +--++, 0.213, 0.712, -2.027, -31.646, 0.014, 1.401, 2.789, 48.675
 1, ['Close_norm'], None, euclidean, padding, 25, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.4961, 0.0338, 0.4693, 0.0482, NaN, NaN, +--++, 0.207, 0.458, -0.959, -10.958, 0.012, 0.992, 3.49, 60.051
 1, ['Close_norm'], SAX, euclidean, padding, 25, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.4861, 0.0621, 0.452, 0.0713, NaN, NaN, +--+-, 0.197, 0.459, -2.109, -34.612, 0.012, 1.188, 2.915, 48.224
 1, ['Close_norm'], None, euclidean, padding, 25, 10, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.4654, 0.0322, 0.4443, 0.0242, NaN, NaN, +----, 0.207, 0.12, -1.128, -22.98, 0.013, 0.514, 3.095, 49.945
 1, ['Close_norm'], SAX, euclidean, padding, 25, 10, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.4708, 0.0371, 0.4161, 0.0595, NaN, NaN, +----, 0.104, 0.332, -2.857, -50.933, 0.013, 0.78, 2.23, 35.968
 1, ['Close_norm'], None, euclidean, padding, 25, 15, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.4814, 0.0556, 0.4489, 0.0752, NaN, NaN, ---++, 0.185, 0.488, -3.675, -53.883, 0.014, 0.793, 1.965, 37.556
 1, ['Close_norm'], SAX, euclidean, padding, 25, 15, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.4701, 0.0287, 0.4195, 0.0387, NaN, NaN, ---+-, 0.131, 0.143, -4.162, -70.598, 0.014, 1.122, 1.722, 29.199
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 25, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.4824, 0.063, 0.4727, 0.0673, NaN, NaN, +--++, 0.283, 1.013, -0.899, -13.796, 0.013, 0.781, 2.983, 50.425
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 25, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5229, 0.0789, 0.466, 0.1174, NaN, NaN, ++-+-, 0.109, 0.566, 0.953, 13.549, 0.013, 0.363, 3.909, 64.097
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, padding, 25, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.4876, 0.0638, 0.4605, 0.0632, NaN, NaN, ++-+-, 0.273, 0.646, 0.979, 9.523, 0.013, 0.581, 3.922, 62.084
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 25, 10, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5312, 0.0688, 0.5245, 0.0707, NaN, NaN, ++++-, 0.396, 0.138, 5.614, 82.272, 0.013, 0.699, 6.537, 103.557
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 25, 10, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.4959, 0.0294, 0.4452, 0.032, NaN, NaN, -++++, 0.146, 0.498, 4.84, 89.834, 0.013, 0.579, 6.149, 107.338
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, padding, 25, 10, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5146, 0.0599, 0.5058, 0.0621, NaN, NaN, +-+++, 0.283, 0.511, 3.559, 66.724, 0.013, 0.846, 5.509, 95.783
